Data retrieved: 06/29/2017 @ 12:01:24,,,,,,,,,,,,,,
Mfg Data (ASCII): 13L0027.........................,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVA-13L2906..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,59,14341,934648,3747533,28275790,3864417,536622,153,0,,37373563
CELL 2,0,0,0,37,5136,705177,3808595,28717983,3805456,331172,7,0,,37373563
CELL 3,0,0,0,62,27090,1100186,3706211,27998548,3865233,675950,283,0,,37373563
CELL 4,0,0,0,35,6804,782625,3791022,28578922,3824417,389733,5,0,,37373563
CELL 5,0,0,0,62,33476,1153218,3691898,27904462,3865860,724045,542,0,,37373563
CELL 6,0,0,0,34,6474,773271,3792358,28596726,3824317,380378,5,0,,37373563
CELL 7,0,0,0,62,30270,1130295,3701048,27947050,3864055,700413,370,0,,37373563
CELL 8,0,0,0,31,4574,713028,3810930,28698929,3806553,339512,6,0,,37373563
CELL 9,0,0,0,59,26389,1101787,3711829,27989740,3866518,676818,423,0,,37373563
CELL 10,0,0,0,32,4792,721600,3809659,28684889,3809195,343390,6,0,,37373563
CELL 11,0,0,0,39,7694,804622,3791612,28542849,3828485,398255,7,0,,37373563
CELL 12,0,0,0,59,21658,1025099,3723467,28124655,3878875,599672,78,0,,37373563
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVA-13L2796..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,67,30089,1131708,3695754,27916495,3892452,705260,1553,0,,37373378
CELL 2,0,0,0,42,8860,846420,3775823,28452351,3856986,432878,18,0,,37373378
CELL 3,0,0,0,66,35004,1191534,3673096,27842584,3876842,752475,1777,0,,37373378
CELL 4,0,0,0,43,7856,837642,3776252,28466128,3855094,430346,17,0,,37373378
CELL 5,0,0,0,63,33283,1179229,3679154,27861991,3873721,744209,1728,0,,37373378
CELL 6,0,0,0,44,8385,855501,3767378,28446513,3856340,439201,16,0,,37373378
CELL 7,0,0,0,62,34957,1193923,3670925,27853684,3871403,746957,1467,0,,37373378
CELL 8,0,0,0,43,7517,831576,3771621,28501438,3844884,416289,10,0,,37373378
CELL 9,0,0,0,60,32664,1177125,3676114,27881089,3866975,737889,1462,0,,37373378
CELL 10,0,0,0,39,6246,775425,3787280,28593185,3831585,379604,14,0,,37373378
CELL 11,0,0,0,48,7930,823403,3778033,28502256,3845842,415823,43,0,,37373378
CELL 12,0,0,0,58,17562,1000740,3724910,28165678,3882508,581566,356,0,,37373378
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 3,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1523-03G-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,75362,1617236,10951324,1551637,44620,0,0,,14240179
CELL 2,0,0,0,0,0,23016,1521728,11276215,1412729,6491,0,0,,14240179
CELL 3,0,0,0,0,4,120983,1646929,10802713,1578311,91239,0,0,,14240179
CELL 4,0,0,0,0,0,23836,1529132,11260878,1420017,6316,0,0,,14240179
CELL 5,0,0,0,0,1,124516,1649724,10794244,1578773,92921,0,0,,14240179
CELL 6,0,0,0,0,0,24495,1531574,11252802,1424703,6605,0,0,,14240179
CELL 7,0,0,0,0,1,125884,1650885,10785014,1581991,96404,0,0,,14240179
CELL 8,0,0,0,0,0,22891,1525802,11265860,1419787,5839,0,0,,14240179
CELL 9,0,0,0,0,0,130036,1652324,10772068,1585068,100683,0,0,,14240179
CELL 10,0,0,0,0,0,27847,1544206,11219715,1440212,8199,0,0,,14240179
CELL 11,0,0,0,0,0,34432,1562905,11163274,1467261,12307,0,0,,14240179
CELL 12,0,0,0,0,0,91762,1635962,10881244,1572631,58580,0,0,,14240179
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 4,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVA-13L2798..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,44,15834,947776,3755942,28233256,3876391,543997,246,0,,37373486
CELL 2,0,0,0,26,3794,679061,3822178,28750645,3802087,315689,6,0,,37373486
CELL 3,0,0,0,50,22681,1069405,3722480,28041266,3867598,649421,585,0,,37373486
CELL 4,0,0,0,28,4089,695174,3823756,28711041,3802559,336829,10,0,,37373486
CELL 5,0,0,0,47,20225,1044059,3731626,28084999,3862669,629459,402,0,,37373486
CELL 6,0,0,0,24,3667,668897,3822409,28778266,3793071,307148,4,0,,37373486
CELL 7,0,0,0,47,22004,1059250,3733500,28055114,3859849,642461,1261,0,,37373486
CELL 8,0,0,0,18,2791,616215,3834681,28869412,3772590,277776,3,0,,37373486
CELL 9,0,0,0,46,18468,1028838,3733463,28118116,3860241,614050,264,0,,37373486
CELL 10,0,0,0,25,3452,635644,3829510,28848399,3776185,280266,5,0,,37373486
CELL 11,0,0,0,31,5598,738785,3813432,28648232,3811465,355930,13,0,,37373486
CELL 12,0,0,0,400,30419,1022172,3747288,28061417,3857507,645963,8320,0,,37373486
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 5,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVA-13L2800..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,49,17061,982438,3758741,28203263,3854341,557392,472,0,,37373757
CELL 2,0,0,0,31,4881,701149,3837695,28744207,3778049,307739,6,0,,37373757
