Data retrieved: 06/26/2017 @ 07:59:28,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1583G100-14J0242............,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1629-0E2-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,154,477,1112,2691,6361,28946,461989,1980943,304917,11092,0,0,,2798682
CELL 2,1130,982,1212,2799,6336,18541,447208,2030900,287190,2384,0,0,,2798682
CELL 3,155,341,1097,2681,6336,42027,467992,1946204,307655,24194,0,0,,2798682
CELL 4,1200,1014,1254,2807,6355,20003,451412,2019647,291748,3242,0,0,,2798682
CELL 5,154,261,1101,2688,6349,43004,468957,1943562,307700,24906,0,0,,2798682
CELL 6,1943,1088,1301,2744,6330,20067,450191,2019888,291902,3228,0,0,,2798682
CELL 7,1227,1014,1244,2767,6342,42213,465819,1946293,307530,24233,0,0,,2798682
CELL 8,2762,1156,1354,2690,6292,18000,441954,2036941,285550,1983,0,0,,2798682
CELL 9,552,977,1195,2790,6358,39479,465461,1953177,306931,21762,0,0,,2798682
CELL 10,2498,1116,1324,2705,6314,18647,445897,2030016,287869,2296,0,0,,2798682
CELL 11,3753,1164,1362,2590,6218,21322,450295,2013464,294591,3923,0,0,,2798682
CELL 12,175,887,1126,2742,6352,33303,464164,1967512,307595,14826,0,0,,2798682
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1624-0CT-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,1042,886,1115,2638,6439,64918,836379,3792699,634824,32396,0,0,,5373336
CELL 2,2967,1066,1298,2623,6550,33520,815874,3896955,605828,6655,0,0,,5373336
CELL 3,1348,936,1155,2635,6486,81611,840665,3755265,632964,50271,0,0,,5373336
CELL 4,2759,1060,1296,2629,6542,31443,812337,3907491,602077,5702,0,0,,5373336
CELL 5,1283,933,1159,2665,6492,79851,841084,3759346,632480,48043,0,0,,5373336
CELL 6,3333,1126,1335,2616,6547,33590,814874,3896567,606424,6924,0,0,,5373336
CELL 7,2382,1013,1243,2650,6548,83635,840616,3749151,633640,52458,0,0,,5373336
CELL 8,3638,1145,1352,2566,6549,33421,813934,3896631,607100,7000,0,0,,5373336
CELL 9,2240,1015,1232,2636,6551,83336,840313,3749585,633841,52587,0,0,,5373336
CELL 10,3727,1157,1360,2616,6557,29713,807061,3918068,598076,5001,0,0,,5373336
CELL 11,5587,1213,1410,2412,6492,31584,808602,3907633,602259,6144,0,0,,5373336
CELL 12,2335,1007,1244,2634,6499,58701,832050,3810061,631704,27101,0,0,,5373336
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 3,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1604..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,4494,2070,2824,5121,39446,784750,2984557,21879355,3189893,494244,41,0,,29386795
CELL 2,5810,2216,2873,5003,23035,659660,3084079,22910213,3157653,339993,8,0,,30190543
CELL 3,4927,2139,2854,5128,54396,902399,3046458,22392725,3179343,599954,220,0,,30190543
CELL 4,6084,2235,2856,4933,23902,670511,3082464,22889484,3158400,349667,7,0,,30190543
CELL 5,4395,2169,2943,5219,56795,911746,3045336,22375419,3176932,609434,155,0,,30190543
CELL 6,5625,2167,2786,4934,24261,670346,3082830,22890032,3159565,347990,7,0,,30190543
CELL 7,4889,2168,2864,5113,56247,910964,3044600,22375637,3178317,609571,173,0,,30190543
CELL 8,5840,2220,2820,4948,24563,675330,3077359,22885000,3160507,351950,6,0,,30190543
CELL 9,4742,2219,2856,5101,56585,910812,3043808,22375124,3178581,610565,150,0,,30190543
CELL 10,6676,2279,2911,4931,27094,695518,3080161,22836222,3165096,369647,8,0,,30190543
CELL 11,7916,2342,3029,4920,29718,719969,3077095,22779747,3173664,392133,10,0,,30190543
CELL 12,3918,1983,2628,4735,48185,853875,3061298,22477334,3193644,542871,72,0,,30190543
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 4,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1629-0E1-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,1680,854,1237,2868,7196,34500,463274,1996535,302926,10070,0,0,,2821140
CELL 2,3521,1064,1316,3103,7143,23937,446053,2050374,283001,1628,0,0,,2821140
CELL 3,2606,999,1259,2996,7130,42859,467470,1973032,304442,18347,0,0,,2821140
CELL 4,3430,1062,1315,3110,7152,23320,443224,2056780,280481,1266,0,0,,2821140
CELL 5,2031,939,1251,2926,7154,41810,467482,1976444,303803,17300,0,0,,2821140
CELL 6,3578,1082,1329,3121,7109,23239,442479,2057492,280442,1269,0,0,,2821140
CELL 7,3288,1032,1272,3058,7108,41486,466394,1976530,303750,17222,0,0,,2821140
CELL 8,4527,1151,1387,3166,7067,22767,438862,2062830,278290,1093,0,0,,2821140
CELL 9,3349,1079,1308,3093,7130,41647,466374,1975610,304224,17326,0,0,,2821140
CELL 10,5186,1158,1450,3205,6978,23429,442173,2054979,281116,1466,0,0,,2821140
CELL 11,6750,1307,1463,3100,6904,23779,443603,2049025,283410,1799,0,0,,2821140
CELL 12,2206,927,1253,2947,7177,32603,461179,2002649,301516,8683,0,0,,2821140
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 5,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1629..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,23294,2608,2522,3527,56389,857773,2964524,21692429,3160192,600513,8833,1,,29372605
CELL 2,8178,2618,3404,5204,14800,602184,3079302,23062677,3106327,292920,7,0,,30177621
CELL 3,6510,2504,3092,4879,51771,895725,3032143,22425483,3160697,593877,940,0,,30177621
CELL 4,8187,2563,3365,4981,15362,617279,3080668,23028197,3107391,309619,9,0,,30177621
CELL 5,5584,2165,2553,4094,40918,848774,3043412,22525644,3158310,545892,275,0,,30177621
CELL 6,7352,2492,3182,4887,14520,611239,3078570,23045011,3106251,304108,9,0,,30177621
CELL 7,7239,2486,3040,4699,47112,875677,3038257,22465753,3161331,571593,434,0,,30177621
CELL 8,8504,2546,3327,4734,16950,642717,3075389,22976036,3117981,329427,10,0,,30177621
CELL 9,8507,2581,3246,4623,56451,914495,3032010,22374357,3157118,622007,2226,0,,30177621
CELL 10,9523,2808,3642,5126,17250,634333,3078502,22996692,3114406,315332,7,0,,30177621
CELL 11,10101,2894,3685,5401,24008,692393,3075093,22861640,3133967,368429,10,0,,30177621
CELL 12,6769,2431,3018,4755,38909,812115,3050577,22587243,3170567,501130,105,2,,30177621
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 6,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1626..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,7580,2575,3219,5139,40369,802336,2968182,21854319,3180033,516893,162,0,,29380807
CELL 2,11714,2999,3662,4850,24322,690523,3080461,22857053,3139233,370936,46,0,,30185799
CELL 3,7844,2674,3319,5119,46382,866067,3038714,22487042,3168465,559948,225,0,,30185799
CELL 4,9281,2759,3461,4988,18545,648564,3077400,22958974,3128008,333809,10,0,,30185799
CELL 5,7597,2605,3194,4997,43732,856154,3039859,22512176,3164513,550764,208,0,,30185799
CELL 6,10934,2660,3165,4144,21985,686558,3077243,22866690,3138541,373830,49,0,,30185799
CELL 7,9357,2777,3531,5057,45185,868128,3037503,22485298,3164988,563615,360,0,,30185799
CELL 8,10906,3160,4015,5455,14194,590607,3078481,23090584,3104162,284228,7,0,,30185799
CELL 9,7702,2670,3315,5155,46918,875404,3037269,22466494,3164778,575517,577,0,,30185799
CELL 10,13236,3212,3783,4879,18391,653382,3083416,22946037,3121030,338413,20,0,,30185799
CELL 11,13653,3519,4318,5593,17028,622220,3081743,23019527,3114915,303276,7,0,,30185799
CELL 12,9868,2763,3510,4970,38125,808278,3051520,22591745,3171719,502871,430,0,,30185799
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 7,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1625..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6836,2706,3506,7065,28489,706474,2993223,22074787,3165496,402473,3,0,,29391058
CELL 2,8000,2787,3986,7461,15052,552112,3090203,23177535,3104432,236313,0,0,,30197881
CELL 3,7519,2859,3843,7886,36002,798630,3059018,22651554,3166996,463570,4,0,,30197881
CELL 4,6851,2640,3741,7118,14162,560419,3085753,23163051,3107956,246190,0,0,,30197881
CELL 5,6815,2834,3734,7708,36029,801541,3057488,22651836,3166059,463834,3,0,,30197881
CELL 6,6996,2696,3936,7441,13802,534059,3085552,23220231,3097627,225541,0,0,,30197881
CELL 7,8115,2966,4135,8140,33646,787252,3057764,22683332,3163218,449311,2,0,,30197881
CELL 8,9821,3249,4287,7171,13606,543947,3083291,23198984,3100755,232770,0,0,,30197881
CELL 9,7176,2840,3852,7848,37274,808723,3058467,22628896,3167076,475726,3,0,,30197881
CELL 10,8535,2981,4439,7805,15616,569594,3084123,23145795,3110867,248126,0,0,,30197881
CELL 11,10244,3272,4615,7494,16329,583313,3086667,23114664,3115393,255890,0,0,,30197881
CELL 12,5949,2701,3521,7170,33012,754568,3067228,22731546,3173557,418626,3,0,,30197881
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 8,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1598..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6979,2079,3465,6066,18041,636212,2988384,22223368,3140967,340660,2,0,,29366223
CELL 2,8973,2618,3959,6121,11190,509000,3084507,23266391,3070625,211570,0,0,,30174954
CELL 3,6423,1904,3151,5328,24892,734534,3059369,22773434,3149774,416142,3,0,,30174954
CELL 4,8112,2310,3475,5467,10234,492020,3084956,23302520,3061760,204099,1,0,,30174954
CELL 5,6760,2061,3403,5648,27239,747872,3058786,22746718,3150184,426278,5,0,,30174954
CELL 6,8246,2368,3572,5537,10270,483594,3085606,23318199,3056648,200912,2,0,,30174954
CELL 7,7558,2163,3428,5507,21673,714090,3062693,22821791,3140540,395508,3,0,,30174954
CELL 8,9583,2668,3726,5680,10359,472029,3085551,23341221,3050256,193879,2,0,,30174954
CELL 9,8053,2351,3631,5687,24602,731180,3060687,22780837,3145578,412342,6,0,,30174954
CELL 10,8366,2348,3450,5329,10878,509716,3091939,23252150,3067709,223067,2,0,,30174954
CELL 11,11521,3070,4187,6114,11213,495621,3087213,23290972,3058582,206460,1,0,,30174954
CELL 12,5926,1855,3120,5266,16956,654284,3074398,22925085,3137589,350467,8,0,,30174954
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 9,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1624..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,5557,2028,2612,4742,39089,793346,2970610,21869334,3185861,508538,183,0,,29381900
CELL 2,9974,3193,4302,6655,21126,646541,3075943,22966661,3135012,317206,6,0,,30186619
CELL 3,9077,2902,3977,6337,48711,873569,3035686,22472766,3175737,557727,130,0,,30186619
CELL 4,10335,2960,4175,6114,17162,613151,3076431,23043194,3121484,291608,5,0,,30186619
CELL 5,9173,2825,3964,6256,47369,868124,3039753,22484069,3174323,550664,99,0,,30186619
CELL 6,12117,3511,4767,6756,16901,605397,3074968,23064038,3116171,281989,4,0,,30186619
CELL 7,8891,2755,3924,5925,51250,888733,3035670,22442575,3173951,572761,184,0,,30186619
CELL 8,11144,3390,4415,6279,19094,632105,3074094,23005091,3125852,305149,6,0,,30186619
CELL 9,7400,2484,3309,5549,54361,903902,3034300,22405038,3173837,596103,336,0,,30186619
CELL 10,9775,2997,4184,6208,22622,663040,3075741,22934803,3137451,329793,5,0,,30186619
CELL 11,15693,4003,5155,6998,22999,660387,3072551,22941013,3136078,321737,5,0,,30186619
CELL 12,5067,2112,2708,5008,45649,844835,3048230,22516411,3187468,528966,165,0,,30186619
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 10,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1622..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,8706,2737,3535,5246,36414,757469,2973314,21939586,3182780,469544,36,0,,29379367
CELL 2,11071,3177,4277,5345,19800,624493,3074990,22991469,3139795,310403,9,0,,30184829
CELL 3,8832,2719,3465,4972,48240,864668,3038028,22470673,3177720,565246,266,0,,30184829
CELL 4,10942,3084,4138,5076,19092,625622,3070841,22997945,3135337,312743,9,0,,30184829
CELL 5,8671,2628,3303,4813,43819,845038,3042075,22516013,3174058,544230,181,0,,30184829
CELL 6,10415,2891,3947,4872,17466,610917,3070876,23029536,3131187,302713,9,0,,30184829
CELL 7,9157,2627,3489,4476,47483,864755,3038809,22471248,3174375,568058,336,0,,30184813
CELL 8,10629,2999,4017,5125,15442,588808,3070755,23078529,3121867,286631,11,0,,30184813
CELL 9,9136,2601,3374,4371,47163,864332,3036712,22473117,3175336,568254,417,0,,30184813
CELL 10,10695,2926,3905,4735,18051,616841,3075129,23013179,3130874,308463,15,0,,30184813
CELL 11,12938,3379,4202,5220,18875,625258,3072906,22996625,3133056,312342,12,0,,30184813
CELL 12,9101,2873,3722,5391,31367,741970,3050177,22737947,3174736,427502,27,0,,30184813
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 11,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1597..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,9468,2636,3455,5230,30972,745904,2976669,21973051,3165580,462094,81,0,,29375140
CELL 2,10545,2850,3761,5385,14894,601571,3082908,23060493,3106479,293368,10,0,,30182264
CELL 3,8243,2567,3300,5315,39284,836774,3044248,22554863,3159957,527544,169,0,,30182264
CELL 4,10000,2766,3631,5208,14126,595979,3082215,23077732,3100941,289657,9,0,,30182264
CELL 5,8292,2451,3047,4783,39689,843047,3044653,22542574,3156347,537099,282,0,,30182264
CELL 6,11760,3209,4289,5951,13363,569330,3079534,23148259,3085934,260630,5,0,,30182264
CELL 7,9978,2671,3407,4821,44431,870421,3040155,22482365,3157409,566123,483,0,,30182264
CELL 8,13097,3373,4282,5655,16009,625128,3081010,23025759,3104937,303006,8,0,,30182264
CELL 9,12465,2754,3264,4189,58308,920784,3035719,22359102,3151012,629959,4708,0,,30182264
CELL 10,11264,2856,3636,4972,16320,629311,3090933,23007610,3106588,308764,10,0,,30182264
CELL 11,14448,3383,4188,5445,22158,679644,3085260,22897432,3122644,347652,10,0,,30182264
CELL 12,8712,2574,3292,4880,39609,819406,3054137,22570041,3167340,511440,574,259,,30182264
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 12,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1631..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,8387,2508,3449,4894,39123,778029,2974149,21890443,3181908,482115,71,0,,29365076
CELL 2,9361,2499,3343,4315,21948,651534,3079934,22924252,3140335,332983,12,0,,30170516
CELL 3,8591,2303,3078,4176,51706,885546,3041219,22412833,3172515,587997,552,0,,30170516
CELL 4,9238,2437,3233,4104,17847,623698,3079957,22988041,3129126,312822,13,0,,30170516
CELL 5,8257,2349,3207,4231,43088,845530,3043864,22511075,3169234,539530,151,0,,30170516
CELL 6,9494,2525,3332,4273,16419,609535,3078485,23019965,3124502,301974,12,0,,30170516
CELL 7,8482,2284,3082,3991,45433,859256,3043802,22476014,3169660,558239,273,0,,30170516
CELL 8,9978,2646,3133,3995,15788,608462,3078881,23017365,3124456,305796,16,0,,30170516
CELL 9,9119,2457,3350,4238,43075,846811,3043552,22504327,3169000,544370,217,0,,30170516
CELL 10,8983,2388,3026,3873,17006,618107,3083728,23000427,3124072,308892,14,0,,30170516
CELL 11,11354,3108,3702,4696,17622,621994,3079122,23000462,3123247,305198,11,0,,30170516
CELL 12,8407,2480,3410,4591,31376,746989,3056893,22714012,3168876,433406,76,0,,30170516
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 13,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1630..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,6726,2574,3296,4863,36423,767075,2973592,21915884,3179550,477383,138,0,,29367504
CELL 2,8892,2854,4009,4991,20281,638313,3078842,22970274,3130238,315142,12,0,,30173848
CELL 3,6769,2437,3242,4659,49785,879236,3037372,22441840,3173709,574250,549,0,,30173848
CELL 4,9444,2988,3872,4690,19570,632967,3079001,22980738,3128152,312412,14,0,,30173848
CELL 5,7910,2700,3681,4898,47742,868000,3038040,22470354,3170146,560082,295,0,,30173848
CELL 6,10452,3325,4294,5292,18640,623618,3074187,23017036,3119844,297150,10,0,,30173848
CELL 7,9204,2843,3883,4814,49069,874641,3038707,22460866,3168433,561030,358,0,,30173848
CELL 8,9776,3070,4017,4971,20078,639183,3075251,22979138,3126195,312158,11,0,,30173848
CELL 9,8927,2846,3877,4818,51401,885485,3036660,22434787,3170171,574453,423,0,,30173848
CELL 10,10395,3414,4310,5366,22058,649114,3076304,22961801,3127400,313678,8,0,,30173848
CELL 11,11583,3440,4244,5422,24399,670312,3077956,22907424,3136345,332712,11,0,,30173848
CELL 12,8452,2940,4146,5414,40192,802816,3049348,22614866,3174869,470738,67,0,,30173848
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 14,,,,,,,,,,,,,,
Mfg Data (ASCII): 0A12-1220-0C2-402335-00605......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,5167,2384,3196,5622,12942,573357,3082679,23138638,3106271,270181,1,0,,30200438
CELL 2,6397,2263,3060,5439,9591,407990,3087761,23519092,3013778,145065,1,0,,30200437
CELL 3,5357,2280,2886,5209,17546,666687,3081734,22950581,3123426,344730,1,0,,30200437
CELL 4,6067,2150,2826,5079,9086,390867,3086444,23563400,2999600,134918,0,0,,30200437
CELL 5,5410,2350,3025,5424,17294,662425,3082058,22961142,3120809,340499,1,0,,30200437
CELL 6,6393,2220,2728,4889,8809,390941,3085516,23562995,2999852,136094,0,0,,30200437
