Data retrieved: 06/26/2017 @ 06:15:06,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1583G100-14H0231............,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1628-06E-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,1,16101,629862,2889309,515056,16765,0,0,,4067094
CELL 2,0,0,0,0,0,4898,604626,2965390,489316,2864,0,0,,4067094
CELL 3,0,0,0,0,1,41866,641316,2820614,515043,48254,0,0,,4067094
CELL 4,0,0,0,0,0,6606,611681,2948409,496047,4351,0,0,,4067094
CELL 5,0,0,0,0,2,48881,641858,2806188,514461,55704,0,0,,4067094
CELL 6,0,0,0,0,0,6592,611363,2948706,496043,4390,0,0,,4067094
CELL 7,0,0,0,0,2,47858,641527,2807653,514683,55371,0,0,,4067094
CELL 8,0,0,0,0,0,4050,598446,2977361,485132,2105,0,0,,4067094
CELL 9,0,0,0,0,2,38865,640359,2826600,515335,45933,0,0,,4067094
CELL 10,0,0,0,0,0,4941,603522,2966469,489322,2840,0,0,,4067094
CELL 11,0,0,0,0,0,7855,615402,2937646,500590,5601,0,0,,4067094
CELL 12,0,0,0,0,3,23832,636288,2863200,518687,25084,0,0,,4067094
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1628-06B-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,2,22081,634212,2869356,517599,23794,0,0,,4067044
CELL 2,0,0,0,0,0,4814,603388,2967223,488832,2787,0,0,,4067044
CELL 3,0,0,0,0,2,40269,640267,2824809,514486,47211,0,0,,4067044
CELL 4,0,0,0,0,0,3624,595818,2983940,481928,1734,0,0,,4067044
CELL 5,0,0,0,0,0,34143,638915,2839689,514941,39356,0,0,,4067044
CELL 6,0,0,0,0,0,3927,598828,2977067,485171,2051,0,0,,4067044
CELL 7,0,0,0,0,0,36792,639488,2832858,514874,43032,0,0,,4067044
CELL 8,0,0,0,0,0,3514,595584,2983298,482892,1756,0,0,,4067044
CELL 9,0,0,0,0,0,36895,639267,2832957,514694,43231,0,0,,4067044
CELL 10,0,0,0,0,0,3537,596170,2982918,482661,1758,0,0,,4067044
CELL 11,0,0,0,0,0,3639,596019,2982557,482967,1862,0,0,,4067044
CELL 12,0,0,0,0,0,14644,627977,2895544,513981,14898,0,0,,4067044
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 3,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1619-0AX-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,2,95040,1707841,7985757,1073546,46248,0,0,,10908434
CELL 2,0,0,0,0,0,31618,1653040,8231719,1293756,7485,0,0,,11217618
CELL 3,0,0,0,0,2,144642,1716822,7875838,1377724,102590,0,0,,11217618
CELL 4,0,0,0,0,0,31263,1651720,8234975,1292677,6983,0,0,,11217618
CELL 5,0,0,0,0,0,139575,1716930,7888247,1377336,95530,0,0,,11217618
CELL 6,0,0,0,0,0,29660,1646431,8246734,1288405,6388,0,0,,11217618
CELL 7,0,0,0,0,1,150737,1717287,7863385,1378217,107991,0,0,,11217618
CELL 8,0,0,0,0,0,31158,1648572,8238656,1292320,6912,0,0,,11217618
CELL 9,0,0,0,0,3,154910,1716439,7854835,1378925,112506,0,0,,11217618
CELL 10,0,0,0,0,0,34577,1655483,8219145,1299855,8558,0,0,,11217618
CELL 11,0,0,0,0,0,43268,1669600,8173463,1318737,12550,0,0,,11217618
CELL 12,0,0,0,0,10,106857,1711574,7953959,1384350,60868,0,0,,11217618
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 4,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1622-0J9-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,7,102011,1501970,6986495,1237620,64774,0,0,,9892877
CELL 2,0,0,0,0,0,45631,1475884,7160798,1194100,16046,0,0,,9892459
CELL 3,0,0,0,0,2,145883,1505155,6899059,1229539,112821,0,0,,9892459
CELL 4,0,0,0,0,0,33083,1457315,7223380,1169608,9073,0,0,,9892459
CELL 5,0,0,0,0,0,134348,1504559,6924226,1229146,100180,0,0,,9892459
CELL 6,0,0,0,0,0,32229,1455503,7227979,1168126,8622,0,0,,9892459
CELL 7,0,0,0,0,2,135428,1504016,6922287,1228439,102287,0,0,,9892459
CELL 8,0,0,0,0,0,27593,1446477,7253215,1158366,6808,0,0,,9892459
CELL 9,0,0,0,0,1,136828,1504098,6918157,1228863,104512,0,0,,9892459
CELL 10,0,0,0,0,0,31516,1456298,7227999,1167822,8824,0,0,,9892459
CELL 11,0,0,0,0,0,36335,1464769,7200409,1179430,11516,0,0,,9892459
CELL 12,0,0,0,0,2,87059,1498759,7022191,1232886,51562,0,0,,9892459
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 5,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVC-14K1616..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,140,40733,1055703,3740489,24460699,1032703,337950,781,0,,30669198
CELL 2,0,0,0,77,10641,832063,3804952,24913855,3471489,458440,46,0,,33491563
CELL 3,0,0,0,125,54222,1126796,3726462,24317856,3464566,799601,1952,0,,33491580
CELL 4,0,0,0,49,9870,828311,3800540,24919844,3469584,463343,39,0,,33491580
CELL 5,0,0,0,96,48890,1101776,3732311,24370271,3467310,769678,1248,0,,33491580
CELL 6,0,0,0,49,9045,807528,3805082,24957942,3469414,442485,35,0,,33491580
CELL 7,0,0,0,115,51711,1113867,3730759,24346367,3466078,781217,1466,0,,33491580
CELL 8,0,0,0,74,11855,844889,3801705,24884617,3471996,476389,55,0,,33491580
CELL 9,0,0,0,113,55423,1125125,3725494,24320351,3466455,797065,1554,0,,33491580
CELL 10,0,0,0,70,11628,829621,3804726,24912221,3475471,457808,35,0,,33491580
CELL 11,0,0,0,166,16263,877162,3803416,24819974,3480372,494148,79,0,,33491580
CELL 12,0,0,0,238,58080,1139905,3735853,24278166,3460636,811978,6724,0,,33491580
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 6,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1628-06A-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,1,16451,630813,2888944,514180,16714,0,0,,4067103
CELL 2,0,0,0,0,0,3804,599044,2980280,482134,1841,0,0,,4067103
CELL 3,0,0,0,0,0,29263,638611,2852214,514111,32904,0,0,,4067103
CELL 4,0,0,0,0,0,2796,591099,2997655,474492,1061,0,0,,4067103
CELL 5,0,0,0,0,0,29834,638693,2851167,513725,33684,0,0,,4067103
CELL 6,0,0,0,0,0,2567,588662,3002546,472421,907,0,0,,4067103
CELL 7,0,0,0,0,0,31240,638984,2847120,513780,35979,0,0,,4067103
CELL 8,0,0,0,0,0,2641,589412,2999798,474240,1012,0,0,,4067103
CELL 9,0,0,0,0,0,28302,637975,2854512,514170,32144,0,0,,4067103
CELL 10,0,0,0,0,0,3434,596757,2984155,481121,1636,0,0,,4067103
CELL 11,0,0,0,0,0,3214,593889,2990307,478183,1510,0,0,,4067103
CELL 12,0,0,0,0,1,15403,630020,2892330,513533,15816,0,0,,4067103
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 7,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1629-0MT-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,1,54582,1280922,6135244,1065665,27873,0,0,,8564287
CELL 2,0,0,0,0,0,17496,1228338,6324148,990860,3445,0,0,,8564287
CELL 3,0,0,0,0,0,90456,1294303,6044111,1072732,62685,0,0,,8564287
CELL 4,0,0,0,0,0,15449,1220934,6341525,983771,2608,0,0,,8564287
CELL 5,0,0,0,0,0,86774,1292587,6055042,1071164,58720,0,0,,8564287
CELL 6,0,0,0,0,0,15194,1219925,6343531,983150,2487,0,0,,8564287
CELL 7,0,0,0,0,0,86735,1292271,6054794,1071126,59361,0,0,,8564287
