Data retrieved: 07/06/2017 @ 07:59:32,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1583G100-13L0036............,,,,,,,,,,,,,,
MODULE 1,,,,,,,,,,,,,,
Mfg Data (ASCII): 364A1585G3REVA-13L3284..........,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,43,14860,1010012,3892768,21860724,3292610,643808,153,0,,30714978
CELL 2,0,0,0,18,5147,746718,3992268,22268574,3326205,376034,14,0,,30714978
CELL 3,0,0,0,49,35201,1185085,3826323,21596890,3236969,834051,410,0,,30714978
CELL 4,0,0,0,18,6271,811322,3968780,22180331,3319330,428914,12,0,,30714978
CELL 5,0,0,0,48,35988,1184187,3823519,21617426,3234787,818853,170,0,,30714978
CELL 6,0,0,0,17,5981,800821,3973107,22192768,3320187,422087,10,0,,30714978
CELL 7,0,0,0,47,34296,1171534,3828936,21633526,3237494,808978,167,0,,30714978
CELL 8,0,0,0,17,4599,757872,3985175,22255833,3320458,391012,12,0,,30714978
CELL 9,0,0,0,41,28458,1140442,3840841,21674114,3247608,783296,178,0,,30714978
CELL 10,0,0,0,17,5766,792125,3979365,22201828,3320826,415039,12,0,,30714978
CELL 11,0,0,0,24,10967,918226,3942256,22018957,3313904,510622,22,0,,30714978
CELL 12,0,0,0,40,27902,1094348,3867228,21732319,3279655,713338,148,0,,30714978
<Cell Balancers>,,,,,,,,,,,,,,
MODULE 2,,,,,,,,,,,,,,
Mfg Data (ASCII): 0039-1631-0DR-402335-00710......,,,,,,,,,,,,,,
,< 2.0,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,>= 4.0,,TOTAL
CELL 1,0,0,0,0,0,8973,417246,2280237,360469,13487,0,0,,3080412
CELL 2,0,0,0,0,0,1592,387413,2360359,329611,1437,0,0,,3080412
CELL 3,0,0,0,0,0,15396,423873,2253670,363466,24007,0,0,,3080412
CELL 4,0,0,0,0,0,1169,381137,2373211,324016,879,0,0,,3080412
CELL 5,0,0,0,0,0,14530,423198,2257472,362695,22517,0,0,,3080412
CELL 6,0,0,0,0,0,1209,381911,2371227,325140,925,0,0,,3080412
