,Bus,Module,Date,Change
0,1,Module 1,09/26/2016 06:07:22,0
1,1,Module 1,11/14/2016 09:56:09,0
2,1,Module 1,02/03/2017 06:25:25,0
3,1,Module 1,04/11/2017 09:29:47,0
4,1,Module 1,09/19/2017 11:39:26,0
5,1,Module 1,01/18/2018 08:09:23,0
6,1,Module 2,09/26/2016 06:07:22,0
7,1,Module 2,11/14/2016 09:56:09,1
8,1,Module 2,02/03/2017 06:25:25,1
9,1,Module 2,04/11/2017 09:29:47,2
10,1,Module 2,09/19/2017 11:39:26,2
11,1,Module 2,01/18/2018 08:09:23,2
12,1,Module 3,09/26/2016 06:07:22,0
13,1,Module 3,11/14/2016 09:56:09,0
14,1,Module 3,02/03/2017 06:25:25,1
15,1,Module 3,04/11/2017 09:29:47,1
16,1,Module 3,09/19/2017 11:39:26,1
17,1,Module 3,01/18/2018 08:09:23,1
18,1,Module 4,09/26/2016 06:07:22,0
19,1,Module 4,11/14/2016 09:56:09,1
20,1,Module 4,02/03/2017 06:25:25,1
21,1,Module 4,04/11/2017 09:29:47,1
22,1,Module 4,09/19/2017 11:39:26,1
23,1,Module 4,01/18/2018 08:09:23,1
24,1,Module 5,09/26/2016 06:07:22,0
25,1,Module 5,11/14/2016 09:56:09,0
26,1,Module 5,02/03/2017 06:25:25,0
27,1,Module 5,04/11/2017 09:29:47,0
28,1,Module 5,09/19/2017 11:39:26,0
29,1,Module 5,01/18/2018 08:09:23,1
30,1,Module 6,09/26/2016 06:07:22,0
31,1,Module 6,11/14/2016 09:56:09,0
32,1,Module 6,02/03/2017 06:25:25,0
33,1,Module 6,04/11/2017 09:29:47,0
34,1,Module 6,09/19/2017 11:39:26,0
35,1,Module 6,01/18/2018 08:09:23,1
36,1,Module 7,09/26/2016 06:07:22,0
37,1,Module 7,11/14/2016 09:56:09,0
38,1,Module 7,02/03/2017 06:25:25,0
39,1,Module 7,04/11/2017 09:29:47,1
40,1,Module 7,09/19/2017 11:39:26,1
41,1,Module 7,01/18/2018 08:09:23,1
42,1,Module 8,09/26/2016 06:07:22,0
43,1,Module 8,11/14/2016 09:56:09,0
44,1,Module 8,02/03/2017 06:25:25,0
45,1,Module 8,04/11/2017 09:29:47,0
46,1,Module 8,09/19/2017 11:39:26,1
47,1,Module 8,01/18/2018 08:09:23,1
48,1,Module 9,09/26/2016 06:07:22,0
49,1,Module 9,11/14/2016 09:56:09,0
50,1,Module 9,02/03/2017 06:25:25,1
51,1,Module 9,04/11/2017 09:29:47,1
52,1,Module 9,09/19/2017 11:39:26,1
53,1,Module 9,01/18/2018 08:09:23,1
54,1,Module 10,09/26/2016 06:07:22,0
55,1,Module 10,11/14/2016 09:56:09,0
56,1,Module 10,02/03/2017 06:25:25,0
57,1,Module 10,04/11/2017 09:29:47,0
58,1,Module 10,09/19/2017 11:39:26,0
59,1,Module 10,01/18/2018 08:09:23,1
60,1,Module 11,09/26/2016 06:07:22,0
61,1,Module 11,11/14/2016 09:56:09,0
62,1,Module 11,02/03/2017 06:25:25,0
63,1,Module 11,04/11/2017 09:29:47,1
64,1,Module 11,09/19/2017 11:39:26,1
65,1,Module 11,01/18/2018 08:09:23,1
66,1,Module 12,09/26/2016 06:07:22,0
67,1,Module 12,11/14/2016 09:56:09,0
68,1,Module 12,02/03/2017 06:25:25,0
69,1,Module 12,04/11/2017 09:29:47,0
70,1,Module 12,09/19/2017 11:39:26,0
71,1,Module 12,01/18/2018 08:09:23,1
72,1,Module 13,09/26/2016 06:07:22,0
73,1,Module 13,11/14/2016 09:56:09,0
74,1,Module 13,02/03/2017 06:25:25,0
75,1,Module 13,04/11/2017 09:29:47,0
76,1,Module 13,09/19/2017 11:39:26,1
77,1,Module 13,01/18/2018 08:09:23,1
78,1,Module 14,09/26/2016 06:07:22,0
79,1,Module 14,11/14/2016 09:56:09,0
80,1,Module 14,02/03/2017 06:25:25,0
81,1,Module 14,04/11/2017 09:29:47,0
82,1,Module 14,09/19/2017 11:39:26,0
83,1,Module 14,01/18/2018 08:09:23,1
84,1,Module 15,09/26/2016 06:07:22,0
85,1,Module 15,11/14/2016 09:56:09,0
86,1,Module 15,02/03/2017 06:25:25,0
87,1,Module 15,04/11/2017 09:29:47,0
88,1,Module 15,09/19/2017 11:39:26,1
89,1,Module 15,01/18/2018 08:09:23,1
90,1,Module 16,09/26/2016 06:07:22,0
91,1,Module 16,11/14/2016 09:56:09,0
92,1,Module 16,02/03/2017 06:25:25,0
93,1,Module 16,04/11/2017 09:29:47,0
94,1,Module 16,09/19/2017 11:39:26,0
95,1,Module 16,01/18/2018 08:09:23,1
0,10,Module 1,10/11/2016 07:29:22,0
1,10,Module 1,03/24/2017 05:48:20,0
2,10,Module 1,07/06/2017 07:59:32,0
3,10,Module 1,10/07/2017 06:51:55,0
4,10,Module 1,04/23/2018 06:24:41,0
5,10,Module 2,10/11/2016 07:29:22,0
6,10,Module 2,03/24/2017 05:48:20,0
7,10,Module 2,07/06/2017 07:59:32,1
8,10,Module 2,10/07/2017 06:51:55,1
9,10,Module 2,04/23/2018 06:24:41,1
10,10,Module 3,10/11/2016 07:29:22,0
11,10,Module 3,03/24/2017 05:48:20,1
12,10,Module 3,07/06/2017 07:59:32,1
13,10,Module 3,10/07/2017 06:51:55,1
14,10,Module 3,04/23/2018 06:24:41,1
15,10,Module 4,10/11/2016 07:29:22,0
16,10,Module 4,03/24/2017 05:48:20,0
17,10,Module 4,07/06/2017 07:59:32,1
18,10,Module 4,10/07/2017 06:51:55,1
19,10,Module 4,04/23/2018 06:24:41,1
20,10,Module 5,10/11/2016 07:29:22,0
21,10,Module 5,03/24/2017 05:48:20,0
22,10,Module 5,07/06/2017 07:59:32,1
23,10,Module 5,10/07/2017 06:51:55,1
24,10,Module 5,04/23/2018 06:24:41,1
25,10,Module 6,10/11/2016 07:29:22,0
26,10,Module 6,03/24/2017 05:48:20,0
27,10,Module 6,07/06/2017 07:59:32,1
28,10,Module 6,10/07/2017 06:51:55,1
29,10,Module 6,04/23/2018 06:24:41,1
30,10,Module 7,10/11/2016 07:29:22,0
31,10,Module 7,03/24/2017 05:48:20,0
32,10,Module 7,07/06/2017 07:59:32,1
33,10,Module 7,10/07/2017 06:51:55,1
34,10,Module 7,04/23/2018 06:24:41,1
35,10,Module 8,10/11/2016 07:29:22,0
36,10,Module 8,03/24/2017 05:48:20,0
37,10,Module 8,07/06/2017 07:59:32,1
38,10,Module 8,10/07/2017 06:51:55,1
39,10,Module 8,04/23/2018 06:24:41,1
40,10,Module 9,10/11/2016 07:29:22,0
41,10,Module 9,03/24/2017 05:48:20,0
42,10,Module 9,07/06/2017 07:59:32,0
43,10,Module 9,10/07/2017 06:51:55,1
44,10,Module 9,04/23/2018 06:24:41,1
45,10,Module 10,10/11/2016 07:29:22,0
46,10,Module 10,03/24/2017 05:48:20,1
47,10,Module 10,07/06/2017 07:59:32,1
48,10,Module 10,10/07/2017 06:51:55,1
49,10,Module 10,04/23/2018 06:24:41,1
50,10,Module 11,10/11/2016 07:29:22,0
51,10,Module 11,03/24/2017 05:48:20,0
52,10,Module 11,07/06/2017 07:59:32,1
53,10,Module 11,10/07/2017 06:51:55,1
54,10,Module 11,04/23/2018 06:24:41,1
55,10,Module 12,10/11/2016 07:29:22,0
56,10,Module 12,03/24/2017 05:48:20,1
57,10,Module 12,07/06/2017 07:59:32,1
58,10,Module 12,10/07/2017 06:51:55,1
59,10,Module 12,04/23/2018 06:24:41,1
60,10,Module 13,10/11/2016 07:29:22,0
61,10,Module 13,03/24/2017 05:48:20,0
62,10,Module 13,07/06/2017 07:59:32,0
63,10,Module 13,10/07/2017 06:51:55,0
64,10,Module 13,04/23/2018 06:24:41,1
65,10,Module 14,10/11/2016 07:29:22,0
66,10,Module 14,03/24/2017 05:48:20,0
67,10,Module 14,07/06/2017 07:59:32,1
68,10,Module 14,10/07/2017 06:51:55,1
69,10,Module 14,04/23/2018 06:24:41,1
70,10,Module 15,10/11/2016 07:29:22,0
71,10,Module 15,03/24/2017 05:48:20,0
72,10,Module 15,07/06/2017 07:59:32,1
73,10,Module 15,10/07/2017 06:51:55,1
74,10,Module 15,04/23/2018 06:24:41,1
75,10,Module 16,10/11/2016 07:29:22,0
76,10,Module 16,03/24/2017 05:48:20,0
77,10,Module 16,07/06/2017 07:59:32,1
78,10,Module 16,10/07/2017 06:51:55,1
79,10,Module 16,04/23/2018 06:24:41,1
0,100,Module 1,04/29/2016 07:44:45,0
1,100,Module 1,09/22/2016 13:28:46,1
2,100,Module 1,01/13/2017 10:42:15,1
3,100,Module 1,03/15/2017 12:13:45,1
4,100,Module 2,04/29/2016 07:44:45,0
5,100,Module 2,09/22/2016 13:28:46,0
6,100,Module 2,01/13/2017 10:42:15,1
7,100,Module 2,03/15/2017 12:13:45,1
8,100,Module 3,04/29/2016 07:44:45,0
9,100,Module 3,09/22/2016 13:28:46,1
10,100,Module 3,01/13/2017 10:42:15,1
11,100,Module 3,03/15/2017 12:13:45,1
12,100,Module 4,04/29/2016 07:44:45,0
13,100,Module 4,09/22/2016 13:28:46,0
